type,subtype,date,site,location,city,region,accident_type
Injury & Riddor,E - No Lost Time Personal Injury,05/06/2015 17:15,Abbeyfield School,In office / building,Northampton,East Midlands,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,19/07/2016 14:00,Abbeyfield School,In depot / yard,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,27/03/2014 07:55,Abbeyfield School,In office / building,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,15/11/2016 13:15,Abbeyfield School,General,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,18/05/2016 09:00,Abbeyfield School,In office / building,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,16/06/2016 17:00,Abbeyfield School,General,Northampton,East Midlands,J-Exposure or contact with a harmful substance
Injury & Riddor,E - No Lost Time Personal Injury,17/05/2016 00:00,Abbeyfield School,General,Northampton,East Midlands,J-Exposure or contact with a harmful substance
Injury & Riddor,E - No Lost Time Personal Injury,22/08/2016 00:00,Abbeyfield School,In office / building,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,25/01/2013 14:30,Abbeyfield School,Outdoors (not highway or railway),Northampton,East Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,12/06/2013 12:00,Abbeyfield School,In office / building,Northampton,East Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,21/06/2013 12:50,Abbeyfield School,In office / building,Northampton,East Midlands,K-Exposure to fire / heat
Injury & Riddor,E - No Lost Time Personal Injury,25/08/2016 07:00,Abbeyfield School,In depot / yard,Northampton,East Midlands,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,23/04/2013 14:00,Abbeyfield School,In office / building,Northampton,East Midlands,D-Struck against something fixed or stationary
Injury & Riddor,R - Non Work Related Incident,29/01/2014 09:30,Abbeyfield School,In depot / yard,Northampton,East Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,22/06/2015 17:30,Abbeyfield School,General,Northampton,East Midlands,P-Other
Injury & Riddor,R - Non Work Related Incident,03/02/2015 00:00,Abbeyfield School,Outdoors (not highway or railway),Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,01/07/2016 17:33,Abbeyfield School,In office / building,Northampton,East Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,16/09/2016 08:50,Abbeyfield School,General,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,11/05/2016 08:30,Abbeyfield School,In office / building,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,01/03/2016 10:10,Abbeyfield School,General,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,24/10/2014 12:20,Abbeyfield School,In office / building,Northampton,East Midlands,S-Food handling incident
Injury & Riddor,E - No Lost Time Personal Injury,10/06/2016 14:05,Abbeyfield School,General,Northampton,East Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,17/12/2013 16:20,Abington Vale Primary School,In office / building,Northampton,East Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,C - RIDDOR Over 7 Days,17/06/2013 16:30,Abington Vale Primary School,General,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,17/06/2013 16:30,Abington Vale Primary School,General,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,17/06/2013 16:30,Abington Vale Primary School,General,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,17/06/2013 16:30,Abington Vale Primary School,General,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,17/06/2013 16:30,Abington Vale Primary School,General,Northampton,East Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,27/07/2015 11:20,ABV (Scotland),In office / building,Glasgow,Scotland,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,17/11/2015 09:30,ABV (Scotland),Outdoors (not highway or railway),Glasgow,Scotland,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,22/04/2016 11:00,ABV (Scotland),Outdoors (not highway or railway),Glasgow,Scotland,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,19/09/2016 19:30,ABV (Scotland),Outdoors (not highway or railway),Glasgow,Scotland,K-Exposure to fire / heat
Injury & Riddor,R - Non Work Related Incident,27/06/2016 10:30,ABV (Scotland),In office / building,Glasgow,Scotland,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,12/12/2016 14:40,ABV (Scotland),In office / building,Glasgow,Scotland,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,21/11/2016 00:00,ABV (Scotland),In office / building,Glasgow,Scotland,S-Food handling incident
Injury & Riddor,E - No Lost Time Personal Injury,25/08/2015 12:00,ABV (Scotland),In office / building,Glasgow,Scotland,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,08/03/2016 09:20,ABV (Scotland),In office / building,Glasgow,Scotland,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,16/08/2016 09:15,ABV (Scotland),Outdoors (not highway or railway),Glasgow,Scotland,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,29/07/2015 12:30,ABV (Scotland),In office / building,Glasgow,Scotland,P-Other
Injury & Riddor,B - RIDDOR Specified Injury,22/09/2015 11:00,ABV (Scotland),General,Glasgow,Scotland,H-Fall from a height
Injury & Riddor,H – RIDDOR reportable (other),13/11/2015 11:20,ABV (Scotland),On highway,Glasgow,Scotland,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,28/01/2016 10:10,ABV (Yorkshire Water),In office / building,Leeds,Yorkshire and the Humbler,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,21/06/2014 10:30,Affinity Water - Develop Services,General,City of London,London,K-Exposure to fire / heat
Injury & Riddor,E - No Lost Time Personal Injury,03/08/2016 00:00,Affinity Water – Lead Pipe Replacement (NIMA),On highway,Watford,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,28/11/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),General,Watford,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,28/11/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),General,Watford,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,28/11/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),General,Watford,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,28/11/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),General,Watford,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,13/09/2016 14:43,Affinity Water – Lead Pipe Replacement (NIMA),General,Watford,East,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,03/08/2016 00:00,Affinity Water – Lead Pipe Replacement (NIMA),On highway,Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,C - RIDDOR Over 7 Days,09/06/2015 00:00,Affinity Water – Lead Pipe Replacement (NIMA),Outdoors (not highway or railway),Watford,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,21/09/2015 16:30,Affinity Water – Lead Pipe Replacement (NIMA),General,Watford,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,H – RIDDOR reportable (other),07/05/2015 13:30,Affinity Water - Mains Renewal,General,Essex,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,H – RIDDOR reportable (other),07/05/2015 13:30,Affinity Water - Mains Renewal,General,Essex,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,H – RIDDOR reportable (other),07/05/2015 13:30,Affinity Water - Mains Renewal,General,Essex,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,09/10/2014 00:00,Affinity Water - Mains Renewal,On highway,Essex,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,F - RIDDOR Dangerous Occurrence,07/03/2015 13:45,Affinity Water - Mains Renewal,On highway,Essex,East,"Q-Service strike - gas, electricity, water, comms"
Injury & Riddor,E - No Lost Time Personal Injury,17/09/2015 09:45,Affinity Water - Mains Renewal,General,Essex,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,B - RIDDOR Specified Injury,20/07/2015 13:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,20/07/2015 13:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,20/07/2015 13:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
